first_name,last_name,username,password,email,is_teacher
Mary,Earps,student1,default123,m.earps@fake.email,
Lucy,Bronze,student2,default123,l.bronze@fake.email,
Rachel,Daly,student3,default123,r.daly@fake.email,
Keira,Walsh,student4,default123,k.walsh@fake.email,
Millie,Bright,student5,default123,m.bright@fake.email,
Beth,Mead,student6,default123,b.mead@fake.email,
Leah,Williamson,student7,default123,l.williamson@fake.email,
Ellen,White,student8,default123,e.white@fake.email,
Georgia,Stanway,student9,default123,g.stanway@fake.email,
Lauren,Hemp,student10,default123,l.hemp@fake.email,
Francesca,Kirby,student11,default123,f.kirby@fake.email,
Sarina,Wiegman,teacher1,default123,s.wiegman@fake.email,1
Jordan,Pickford,student12,default123,j.pickford@fake.email,
Kyle,Walker,student13,default123,k.walker@fake.email,
John,Stones,student14,default123,j.stones@fake.email,
Tyrone,Mings,student15,default123,t.mings@fake.email,
Kieran,Trippier,student16,default123,k.trippier@fake.email,
Kalvin,Phillips,student17,default123,k.phillips@fake.email,
Declan,Rice,student18,default123,d.rice@fake.email,
Raheem,Sterling,student19,default123,r.sterling@fake.email,
Mason,Mount,student20,default123,m.mount@fake.email,
Phil,Foden,student21,default123,p.foden@fake.email,
Harry,Kane,student22,default123,h.kane@fake.email,
Gareth,Southgate,teacher2,default123,g.southgate@fake.email,1
